x 0fx

1 0 
10 42 
100 812 
1000 11501 
10000 149711 
100000 1828904 
1000000 21589450 
2000000 45175844 
3000000 69589945 
4000000 94352209 
5000000 119614504 
6000000 145184187 
7000000 170900022 
8000000 196710961 
9000000 222831005 
10000000 249239393 
11000000 275760917 
12000000 302373345 
13000000 329053547 
14000000 355792819 
15000000 382583097 
16000000 409417626 
17000000 436367344 
18000000 463664331 
19000000 491032449

