x 0fx

1 0 
10 27 
100 297 
1000 2997 
10000 29997 
100000 299997 
1000000 2999997 
2000000 5999997 
3000000 8999997 
4000000 11999997 
5000000 14999997 
6000000 17999997 
7000000 20999997 
8000000 23999997 
9000000 26999997 
10000000 29999997 
11000000 32999997 
12000000 35999997 
13000000 38999997 
14000000 41999997 
15000000 44999997 
16000000 47999997 
17000000 50999997 
18000000 53999997 
19000000 56999997

