x 0fx

1 0 
10 44 
100 864 
1000 12828 
10000 170961 
100000 2126303 
1000000 25300318 
2000000 53426346 
3000000 82351173 
4000000 111691782 
5000000 141674184 
6000000 172207789 
7000000 202784798 
8000000 232989209 
9000000 264212319 
10000000 295803538 
11000000 327936723 
12000000 359584569 
13000000 390523652 
14000000 422014047 
15000000 453995230 
16000000 485723005 
17000000 517723649 
18000000 550551843 
19000000 583280637

