x 0fx

1 0 
10 56 
100 1158 
1000 17972 
10000 247258 
100000 3137778 
1000000 37892457 
2000000 79764032 
3000000 123517842 
4000000 167444758 
5000000 212963222 
6000000 258849067 
7000000 304714922 
8000000 350560599 
9000000 397607564 
10000000 445412667 
11000000 493195723 
12000000 540958685 
13000000 588702338 
14000000 636426996 
15000000 684129536 
16000000 731811863 
17000000 779916775 
18000000 829560040 
19000000 879184907

