x 0fx

1 5.246998625807464e-06 
10 0.000140998003189452 
100 0.0011098530085291713 
1000 0.018896062989369966 
10000 0.2728822459903313 
100000 3.5037230900052236 
1000000 43.600374582005315 
2000000 91.37361403601244 
3000000 138.25009986999794 
4000000 187.5487546850054 
5000000 248.67932575200393 
6000000 297.54441623699677 
7000000 340.6868573889951 
8000000 394.5289641950076 
9000000 448.0049572720018 
10000000 517.1257736199914 
11000000 559.9059746760031 
12000000 607.670133476 
13000000 703.0003792820062 
14000000 734.9700271280017 
15000000 775.9093819919945 
16000000 846.1493817330047 
17000000 884.4507979610062 
18000000 947.065333008999 
19000000 1007.2606376019976

