x 0fx

1 6.856003892607987e-06 
10 5.4971009376458824e-05 
100 0.0009551450057188049 
1000 0.013077345007332042 
10000 0.19252132100518793 
100000 2.6507073569955537 
1000000 35.84560719800356 
2000000 76.29809229700186 
3000000 118.09935128499637 
4000000 162.3731005640002 
5000000 208.2613737040083 
6000000 254.8361304100108 
7000000 304.29311792799854 
8000000 350.47600505300215 
9000000 396.5338440630003 
10000000 447.3488860750076 
11000000 499.600144445998 
12000000 563.1237280140049 
13000000 637.4989287170029 
14000000 669.4400893280108 
15000000 721.7374341260002 
16000000 762.6868922440044 
17000000 849.7030177289853 
18000000 864.5451734340168 
19000000 922.2696275300113

