x 0fx

1 5.648995283991098e-06 
10 8.703301136847585e-05 
100 0.0002512380015105009 
1000 0.002660359998117201 
10000 0.02721596999617759 
100000 0.2656025710020913 
1000000 2.654005224001594 
2000000 5.294175842005643 
3000000 8.187470286997268 
4000000 11.036626867004088 
5000000 13.519378393000807 
6000000 16.518132230004994 
7000000 20.132737983003608 
8000000 21.012791155008017 
9000000 26.32800913300889 
10000000 27.344072391992086 
11000000 30.228804201993626 
12000000 33.288734239002224 
13000000 36.2888949939952 
14000000 37.979213555008755 
15000000 42.35691668299842 
16000000 44.53658026800258 
17000000 45.56031177700788 
18000000 48.930250536010135 
19000000 52.86914002201229

