x 0fx

1 0 
10 43 
100 799 
1000 11618 
10000 149508 
100000 1829118 
1000000 21588414 
2000000 45175552 
3000000 69591195 
4000000 94351880 
5000000 119616201 
6000000 145178421 
7000000 170888767 
8000000 196702720 
9000000 222825901 
10000000 249229025 
11000000 275748795 
12000000 302355841 
13000000 329037903 
14000000 355772911 
15000000 382564962 
16000000 409395839 
17000000 436346101 
18000000 463638769 
19000000 491009270

