x 0fx

1 0 
10 52 
100 839 
1000 11616 
10000 149391 
100000 1828968 
1000000 21586613 
2000000 45175923 
3000000 69590258 
4000000 94351585 
5000000 119615436 
6000000 145184213 
7000000 170883395 
8000000 196701824 
9000000 222819184 
10000000 249240129 
11000000 275759457 
12000000 302362121 
13000000 329049130 
14000000 355795961 
15000000 382576914 
16000000 409415504 
17000000 436363219 
18000000 463658516 
19000000 491027107

